49,Cameron Heyward\HeywCa01,DE,PIT,$10400000
50,Branden Albert\AlbeBr20,G,MIA,$10150000
51,Mike Pouncey\PounMi00,OL,MIA,$10025000
52,Malik Jackson\JackMa02,DT,JAX,$10000000
,Corey Liuget\LiugCo00,DT,SDG,$10000000
,Lavonte David\DaviLa00,OLB,TAM,$10000000
55,Aqib Talib\TaliAq99,DB,DEN,$9968750
56,Anthony Castonzo\CastAn00,OL,IND,$9800000
57,Vincent Jackson\JackVi00,WR,TAM,$9777777
58,Brandon Flowers\FlowBr99,DB,SDG,$9750000
,Patrick Peterson\PetePa00,CB,ARI,$9750000
60,Geno Atkins\AtkiGe99,DT,CIN,$9600000
61,Jonathan Stewart\StewJo00,RB,CAR,$9550000
62,Brandon Marshall\MarsBr00,WR,NYJ,$9500000
,Lardarius Webb\WebbLa99,DB,BAL,$9500000
,Duane Brown\BrowDu20,G,HOU,$9500000
,Joe Thomas\ThomJo28,T,CLE,$9500000
,Calais Campbell\CampCa99,DE,ARI,$9500000
67,Randall Cobb\CobbRa00,WR,GNB,$9150000
68,Allen Hurns\HurnAl01,WR,JAX,$9001668
69,Chris Harris\HarrCh01,CB,DEN,$9000000
,Dez Bryant\BryaDe01,WR,DAL,$9000000
71,Dwayne Allen\AlleDw00,TE,IND,$8906250
72,Jimmy Graham\GrahJi00,TE,SEA,$8900000
73,Jason McCourty\McCoJa99,DB,TEN,$8800000
74,Cameron Wake\WakeCa00,LB,MIA,$8525000
75,Byron Maxwell\MaxwBy00,DB,MIA,$8500000
76,Kareem Jackson\JackKa99,DB,HOU,$8437500
77,Vontae Davis\DaviVo99,DB,IND,$8375000
78,Jordy Nelson\NelsJo00,WR,GNB,$8300000
79,Brian Orakpo\OrakBr99,LB,TEN,$8250000
80,Reshad Jones\JoneRe99,DB,MIA,$8202942
81,Jurrell Casey\CaseJu00,DL,TEN,$8120000
82,Kevin Zeitler\ZeitKe00,G,CIN,$8070000
,Riley Reiff\ReifRi00,OT,DET,$8070000
,David DeCastro\DeCaDa00,G,PIT,$8070000
85,Jason Peters\PeteJa21,T,PHI,$8050000
86,DeMarcus Ware\WareDe99,LB,DEN,$8010418
87,Earl Thomas\ThomEa99,DB,SEA,$8000000
,Jared Odrick\OdriJa99,DT,JAX,$8000000
,Andrew Whitworth\WhitAn20,T,CIN,$8000000
,Jordan Cameron\CameJo00,TE,MIA,$8000000
91,Chandler Jones\JoneCh03,DE,ARI,$7799000
92,Robert Quinn\QuinRo00,DE,LAR,$7777777
93,Dont'a Hightower\HighDo01,ILB,NWE,$7751000
,Melvin Ingram\IngrMe00,DE,SDG,$7751000
95,Adrian Peterson\PeteAd01,RB,MIN,$7750000
96,Keenan Allen\AlleKe00,WR,SDG,$7724450
97,Rodney Hudson\HudsRo00,OL,OAK,$7700000
98,LeSean McCoy\McCoLe01,RB,BUF,$7675000
,Pernell McPhee\McPhPe00,DL,CHI,$7675000
